,id,original_language,title,popularity,release_date,vote_average,vote_count
0,278,en,The Shawshank Redemption,6.81,1994-09-23,8.7,27881
1,238,en,The Godfather,5.445,1972-03-14,8.7,21146
2,240,en,The Godfather Part II,4.983,1974-12-20,8.57,12767
3,424,en,Schindler's List,4.712,1993-12-15,8.567,16218
4,1356039,es,Counterattack,9.495,2025-02-27,8.567,418
5,389,en,12 Angry Men,5.203,1957-04-10,8.5,8954
6,129,ja,Spirited Away,5.483,2001-07-20,8.5,16908
7,19404,hi,Dilwale Dulhania Le Jayenge,3.609,1995-10-20,8.5,4467
8,155,en,The Dark Knight,5.468,2008-07-16,8.519,33537
9,497,en,The Green Mile,5.157,1999-12-10,8.505,17890
10,496243,ko,Parasite,4.991,2019-05-30,8.5,18783
11,680,en,Pulp Fiction,6.175,1994-09-10,8.5,28424
12,372058,ja,Your Name.,4.37,2016-08-26,8.486,11641
13,122,en,The Lord of the Rings: The Return of the King,6.057,2003-12-17,8.481,24791
14,13,en,Forrest Gump,4.991,1994-06-23,8.468,27949
15,429,it,"The Good, the Bad and the Ugly",4.896,1966-12-22,8.463,8855
16,346,ja,Seven Samurai,3.789,1954-04-26,8.5,3819
17,769,en,GoodFellas,4.139,1990-09-12,8.457,13173
18,157336,en,Interstellar,7.424,2014-11-05,8.452,36698
19,12477,ja,Grave of the Fireflies,0.005,1988-04-16,8.451,5775
20,637,it,Life Is Beautiful,4.356,1997-12-20,8.446,13237
21,550,en,Fight Club,5.792,1999-10-15,8.438,29964
22,11216,it,Cinema Paradiso,3.569,1988-11-17,8.437,4476
23,598,pt,City of God,4.372,2002-08-30,8.426,7542
24,539,en,Psycho,4.053,1960-06-22,8.423,10250
25,667257,es,Impossible Things,3.582,2021-06-17,8.4,398
26,120,en,The Lord of the Rings: The Fellowship of the Ring,5.427,2001-12-18,8.4,25707
27,311,en,Once Upon a Time in America,3.858,1984-05-23,8.415,5520
28,510,en,One Flew Over the Cuckoo's Nest,4.897,1975-11-19,8.414,10649
29,696374,en,Gabriel's Inferno,1.627,2020-05-29,8.413,2416
30,14537,ja,Harakiri,3.82,1962-09-15,8.4,1043
31,40096,pt,A Dog's Will,3.781,2000-09-15,8.411,1141
32,121,en,The Lord of the Rings: The Two Towers,5.991,2002-12-18,8.401,22325
33,4935,ja,Howl's Moving Castle,4.955,2004-09-09,8.398,10149
34,324857,en,Spider-Man: Into the Spider-Verse,3.918,2018-12-06,8.4,15961
35,1891,en,The Empire Strikes Back,3.603,1980-05-20,8.39,17240
36,704264,en,Primal: Tales of Savagery,3.59,2019-11-21,8.387,328
37,1058694,es,Radical,3.576,2023-10-19,8.384,444
38,724089,en,Gabriel's Inferno: Part II,1.627,2020-07-31,8.383,1518
39,378064,ja,A Silent Voice: The Movie,4.548,2016-09-17,8.4,4049
40,770156,en,Lucy Shimmers and the Prince of Peace,3.549,2020-10-19,8.38,300
41,761053,en,Gabriel's Inferno: Part III,3.542,2020-11-19,8.378,1057
42,255709,ko,Hope,3.534,2013-10-02,8.4,757
43,423,en,The Pianist,4.458,2002-09-17,8.379,9384
44,244786,en,Whiplash,7.977,2014-10-10,8.4,15454
45,807,en,Se7en,4.493,1995-09-22,8.373,21478
